Relative_Density_60F,Litres_per_US_Gallon_60F
0.845,3.7837
0.8762,3.7837
0.883,3.7837
0.654,3.7823
0.661,3.7823
0.662,3.7824
0.675,3.7824
0.676,3.7825
0.691,3.7825
0.692,3.7826
0.707,3.7826
0.708,3.7827
0.724,3.7827
0.725,3.7828
0.743,3.7828
0.744,3.7829
0.763,3.7829
0.764,3.783
0.773,3.783
0.774,3.7831
0.777,3.7831
0.778,3.7832
0.781,3.7832
0.782,3.7833
0.786,3.7833
0.787,3.7834
0.798,3.7834
0.799,3.7835
0.82,3.7835
0.821,3.7836
0.844,3.7836
0.845,3.7837
0.883,3.7837
0.884,3.7838
0.926,3.7838
0.927,3.7839
0.975,3.7839
0.976,3.784
1.031,3.784
1.032,3.7841
1.075,3.7841
