barrels_per_tonne_60f,density_15c_kg_per_m3
5.859,1075
5.864,1074
5.87,1073
5.875,1072
5.881,1071
5.886,1070
5.892,1069
5.897,1068
5.903,1067
5.908,1066
5.914,1065
5.919,1064
5.925,1063
5.931,1062
5.936,1061
5.942,1060
5.947,1059
5.953,1058
5.959,1057
5.964,1056
5.97,1055
5.976,1054
5.981,1053
5.987,1052
5.993,1051
5.998,1050
6.004,1049
6.01,1048
6.016,1047
6.021,1046
6.027,1045
6.033,1044
6.039,1043
6.045,1042
6.05,1041
6.056,1040
6.062,1039
6.068,1038
6.074,1037
6.08,1036
6.086,1035
6.091,1034
6.097,1033
6.103,1032
6.109,1031
6.115,1030
6.121,1029
6.127,1028
6.133,1027
6.139,1026
6.145,1025
6.151,1024
6.157,1023
6.163,1022
6.169,1021
6.175,1020
6.181,1019
6.187,1018
6.193,1017
6.2,1016
6.206,1015
6.212,1014
6.218,1013
6.224,1012
6.23,1011
6.236,1010
6.243,1009
6.249,1008
6.255,1007
6.261,1006
6.267,1005
6.274,1004
6.28,1003
6.286,1002
6.293,1001
6.299,1000
6.305,999
6.312,998
6.318,997
6.324,996
6.331,995
6.337,994
6.343,993
6.35,992
6.356,991
6.363,990
6.369,989
6.376,988
6.382,987
6.388,986
6.395,985
6.401,984
6.408,983
6.415,982
6.421,981
6.428,980
6.434,979
6.441,978
6.447,977
6.454,976
6.461,975
6.467,974
6.474,973
6.481,972
6.487,971
6.494,970
6.501,969
6.507,968
6.514,967
6.521,966
6.528,965
6.535,964
6.541,963
6.548,962
6.555,961
6.562,960
6.569,959
6.576,958
6.582,957
6.589,956
6.596,955
6.603,954
6.61,953
6.617,952
6.624,951
6.631,950
6.638,949
6.645,948
6.652,947
6.659,946
6.666,945
6.673,944
6.68,943
6.687,942
6.695,941
6.702,940
6.709,939
6.716,938
6.723,937
6.73,936
6.738,935
6.745,934
6.752,933
6.759,932
6.767,931
6.774,930
6.781,929
6.788,928
6.796,927
6.803,926
6.811,925
6.818,924
6.825,923
6.833,922
6.84,921
6.848,920
6.855,919
6.863,918
6.87,917
6.878,916
6.885,915
6.893,914
6.9,913
6.908,912
6.915,911
6.923,910
6.931,909
6.938,908
6.946,907
6.954,906
6.961,905
6.969,904
6.977,903
6.985,902
6.992,901
7.0,900
7.008,899
7.016,898
7.024,897
7.031,896
7.039,895
7.047,894
7.055,893
7.063,892
7.071,891
7.079,890
7.087,889
7.095,888
7.103,887
7.111,886
7.119,885
7.127,884
7.135,883
7.143,882
7.151,881
7.159,880
7.168,879
7.176,878
7.184,877
7.192,876
7.2,875
7.209,874
7.217,873
7.225,872
7.234,871
7.242,870
7.25,869
7.259,868
7.267,867
7.275,866
7.284,865
7.292,864
7.301,863
7.309,862
7.318,861
7.326,860
7.335,859
7.343,858
7.352,857
7.361,856
7.369,855
7.378,854
7.387,853
7.395,852
7.404,851
7.413,850
7.421,849
7.43,848
7.439,847
7.448,846
7.457,845
7.465,844
7.474,843
7.483,842
7.492,841
7.501,840
7.51,839
7.519,838
7.528,837
7.537,836
7.546,835
7.555,834
7.564,833
7.573,832
7.583,831
7.592,830
7.601,829
7.61,828
7.619,827
7.629,826
7.638,825
7.647,824
7.656,823
7.666,822
7.675,821
7.685,820
7.694,819
7.703,818
7.713,817
7.722,816
7.732,815
7.741,814
7.751,813
7.76,812
7.77,811
7.78,810
7.789,809
7.799,808
7.809,807
7.818,806
7.828,805
7.838,804
7.848,803
7.857,802
7.867,801
7.877,800
7.887,799
7.897,798
7.907,797
7.917,796
7.927,795
7.937,794
7.947,793
7.957,792
7.967,791
7.977,790
7.987,789
7.997,788
8.008,787
8.018,786
8.028,785
8.038,784
8.049,783
8.059,782
8.07,781
8.08,780
8.09,779
8.101,778
8.111,777
8.122,776
8.132,775
8.143,774
8.154,773
8.164,772
8.175,771
8.186,770
8.196,769
8.207,768
8.218,767
8.228,766
8.239,765
8.25,764
8.261,763
8.272,762
8.283,761
8.294,760
8.304,759
8.315,758
8.326,757
8.338,756
8.349,755
8.36,754
8.371,753
8.382,752
8.393,751
8.404,750
8.416,749
8.427,748
8.438,747
8.45,746
8.461,745
8.472,744
8.484,743
8.495,742
8.507,741
8.518,740
8.53,739
8.541,738
8.553,737
8.565,736
8.576,735
8.588,734
8.6,733
8.612,732
8.623,731
8.635,730
8.647,729
8.659,728
8.671,727
8.683,726
8.695,725
8.707,724
8.719,723
8.731,722
8.743,721
8.756,720
8.768,719
8.78,718
8.792,717
8.805,716
8.817,715
8.829,714
8.842,713
8.854,712
8.867,711
8.879,710
8.892,709
8.904,708
8.917,707
8.93,706
8.942,705
8.955,704
8.968,703
8.981,702
8.994,701
9.006,700
9.019,699
9.032,698
9.045,697
9.058,696
9.071,695
9.085,694
9.098,693
9.111,692
9.124,691
9.137,690
9.151,689
9.164,688
9.177,687
9.191,686
9.204,685
9.218,684
9.231,683
9.245,682
9.258,681
9.272,680
9.286,679
9.3,678
9.313,677
9.327,676
9.341,675
9.355,674
9.369,673
9.383,672
9.397,671
9.411,670
9.425,669
9.439,668
9.453,667
9.468,666
9.482,665
9.496,664
9.511,663
9.525,662
9.539,661
9.554,660
9.568,659
9.583,658
9.598,657
9.612,656
9.627,655
9.642,654
