relative_density_60f,us_gallons_per_short_ton_60f,barrels_per_short_ton_60f
0.654,367.44,8.748
0.655,366.87,8.735
0.656,366.31,8.722
0.657,365.75,8.708
0.658,365.2,8.695
0.659,364.64,8.682
0.66,364.09,8.669
0.661,363.54,8.656
0.662,362.99,8.643
0.663,362.44,8.629
0.664,361.89,8.616
0.665,361.35,8.603
0.666,360.8,8.591
0.667,360.26,8.578
0.668,359.72,8.565
0.669,359.18,8.552
0.67,358.64,8.539
0.671,358.11,8.526
0.672,357.58,8.514
0.673,357.04,8.501
0.674,356.51,8.488
0.675,355.98,8.476
0.676,355.46,8.463
0.677,354.93,8.451
0.678,354.41,8.438
0.679,353.88,8.426
0.68,353.36,8.413
0.681,352.84,8.401
0.682,352.32,8.389
0.683,351.81,8.376
0.684,351.29,8.364
0.685,350.78,8.352
0.686,350.27,8.34
0.687,349.75,8.327
0.688,349.25,8.315
0.689,348.74,8.303
0.69,348.23,8.291
0.691,347.73,8.279
0.692,347.22,8.267
0.693,346.72,8.255
0.694,346.22,8.243
0.695,345.72,8.231
0.696,345.22,8.22
0.697,344.73,8.208
0.698,344.23,8.196
0.699,343.74,8.184
0.7,343.25,8.173
0.701,342.76,8.161
0.702,342.27,8.149
0.703,341.78,8.138
0.704,341.29,8.126
0.705,340.81,8.114
0.706,340.33,8.103
0.707,339.84,8.092
0.708,339.36,8.08
0.709,338.88,8.069
0.71,338.4,8.057
0.711,337.93,8.046
0.712,337.45,8.035
0.713,336.98,8.023
0.714,336.51,8.012
0.715,336.03,8.001
0.716,335.56,7.99
0.717,335.1,7.978
0.718,334.63,7.967
0.719,334.16,7.956
0.72,333.7,7.945
0.721,333.23,7.934
0.722,332.77,7.923
0.723,332.31,7.912
0.724,331.85,7.901
0.725,331.39,7.89
0.726,330.93,7.879
0.727,330.48,7.869
0.728,330.02,7.858
0.729,329.57,7.847
0.73,329.12,7.836
0.731,328.67,7.825
0.732,328.22,7.815
0.733,327.77,7.804
0.734,327.32,7.793
0.735,326.88,7.783
0.736,326.43,7.772
0.737,325.99,7.762
0.738,325.54,7.751
0.739,325.1,7.741
0.74,324.66,7.73
0.741,324.22,7.72
0.742,323.79,7.709
0.743,323.35,7.699
0.744,322.91,7.688
0.745,322.48,7.678
0.746,322.05,7.668
0.747,321.62,7.658
0.748,321.19,7.647
0.749,320.76,7.637
0.75,320.33,7.627
0.751,319.9,7.617
0.752,319.47,7.607
0.753,319.05,7.596
0.754,318.63,7.586
0.755,318.2,7.576
0.756,317.78,7.566
0.757,317.36,7.556
0.758,316.94,7.546
0.759,316.52,7.536
0.76,316.11,7.526
0.761,315.69,7.516
0.762,315.27,7.507
0.763,314.86,7.497
0.764,314.45,7.487
0.765,314.04,7.477
0.766,313.63,7.467
0.767,313.22,7.458
0.768,312.81,7.448
0.769,312.4,7.438
0.77,311.99,7.428
0.771,311.59,7.419
0.772,311.18,7.409
0.773,310.78,7.4
0.774,310.38,7.39
0.775,309.98,7.38
0.776,309.58,7.371
0.777,309.18,7.361
0.778,308.78,7.352
0.779,308.38,7.342
0.78,307.99,7.333
0.781,307.59,7.324
0.782,307.2,7.314
0.783,306.81,7.305
0.784,306.41,7.296
0.785,306.02,7.286
0.786,305.63,7.277
0.787,305.24,7.268
0.788,304.86,7.258
0.789,304.47,7.249
0.79,304.08,7.24
0.791,303.7,7.231
0.792,303.31,7.222
0.793,302.93,7.213
0.794,302.55,7.204
0.795,302.17,7.194
0.796,301.79,7.185
0.797,301.41,7.176
0.798,301.03,7.167
0.799,300.65,7.158
0.8,300.28,7.149
0.801,299.9,7.14
0.802,299.53,7.132
0.803,299.15,7.123
0.804,298.78,7.114
0.805,298.41,7.105
0.806,298.04,7.096
0.807,297.67,7.087
0.808,297.3,7.079
0.809,296.93,7.07
0.81,296.56,7.061
0.811,296.2,7.052
0.812,295.83,7.044
0.813,295.47,7.035
0.814,295.1,7.026
0.815,294.74,7.018
0.816,294.38,7.009
0.817,294.02,7.0
0.818,293.66,6.992
0.819,293.3,6.983
0.82,292.94,6.975
0.821,292.58,6.966
0.822,292.23,6.958
0.823,291.87,6.949
0.824,291.52,6.941
0.825,291.16,6.932
0.826,290.81,6.924
0.827,290.46,6.916
0.828,290.11,6.907
0.829,289.76,6.899
0.83,289.41,6.891
0.831,289.06,6.882
0.832,288.71,6.874
0.833,288.36,6.866
0.834,288.02,6.858
0.835,287.67,6.849
0.836,287.33,6.841
0.837,286.98,6.833
0.838,286.64,6.825
0.839,286.3,6.817
0.84,285.96,6.808
0.841,285.62,6.8
0.842,285.28,6.792
0.843,284.94,6.784
0.844,284.6,6.776
0.845,284.26,6.768
0.846,283.93,6.76
0.847,283.59,6.752
0.848,283.25,6.744
0.849,282.92,6.736
0.85,282.59,6.728
0.851,282.25,6.72
0.852,281.92,6.712
0.853,281.59,6.705
0.854,281.26,6.697
0.855,280.93,6.689
0.856,280.6,6.681
0.857,280.28,6.673
0.858,279.95,6.665
0.859,279.62,6.658
0.86,279.3,6.65
0.861,278.97,6.642
0.862,278.65,6.634
0.863,278.32,6.627
0.864,278.0,6.619
0.865,277.68,6.611
0.866,277.36,6.604
0.867,277.04,6.596
0.868,276.72,6.589
0.869,276.4,6.581
0.87,276.08,6.573
0.871,275.76,6.566
0.872,275.45,6.558
0.873,275.13,6.551
0.874,274.82,6.543
0.875,274.5,6.536
0.876,274.19,6.528
0.877,273.88,6.521
0.878,273.56,6.513
0.879,273.25,6.506
0.88,272.94,6.499
0.881,272.63,6.491
0.882,272.32,6.484
0.883,272.01,6.476
0.884,271.7,6.469
0.885,271.4,6.462
0.886,271.09,6.455
0.887,270.78,6.447
0.888,270.48,6.44
0.889,270.17,6.433
0.89,269.87,6.425
0.891,269.57,6.418
0.892,269.26,6.411
0.893,268.96,6.404
0.894,268.66,6.397
0.895,268.36,6.39
0.896,268.06,6.382
0.897,267.76,6.375
0.898,267.46,6.368
0.899,267.16,6.361
0.9,266.87,6.354
0.901,266.57,6.347
0.902,266.27,6.34
0.903,265.98,6.333
0.904,265.68,6.326
0.905,265.39,6.319
0.906,265.1,6.312
0.907,264.8,6.305
0.908,264.51,6.298
0.909,264.22,6.291
0.91,263.93,6.284
0.911,263.64,6.277
0.912,263.35,6.27
0.913,263.06,6.263
0.914,262.77,6.257
0.915,262.49,6.25
0.916,262.2,6.243
0.917,261.91,6.236
0.918,261.63,6.229
0.919,261.34,6.222
0.92,261.06,6.216
0.921,260.77,6.209
0.922,260.49,6.202
0.923,260.21,6.195
0.924,259.93,6.189
0.925,259.64,6.182
0.926,259.36,6.175
0.927,259.08,6.169
0.928,258.8,6.162
0.929,258.53,6.155
0.93,258.25,6.149
0.931,257.97,6.142
0.932,257.69,6.136
0.933,257.42,6.129
0.934,257.14,6.122
0.935,256.86,6.116
0.936,256.59,6.109
0.937,256.32,6.103
0.938,256.04,6.096
0.939,255.77,6.09
0.94,255.5,6.083
0.941,255.22,6.077
0.942,254.95,6.07
0.943,254.68,6.064
0.944,254.41,6.057
0.945,254.14,6.051
0.946,253.87,6.045
0.947,253.61,6.038
0.948,253.34,6.032
0.949,253.07,6.025
0.95,252.8,6.019
0.951,252.54,6.013
0.952,252.27,6.006
0.953,252.01,6.0
0.954,251.74,5.994
0.955,251.48,5.988
0.956,251.21,5.981
0.957,250.95,5.975
0.958,250.69,5.969
0.959,250.43,5.963
0.96,250.17,5.956
0.961,249.91,5.95
0.962,249.65,5.944
0.963,249.39,5.938
0.964,249.13,5.932
0.965,248.87,5.925
0.966,248.61,5.919
0.967,248.35,5.913
0.968,248.1,5.907
0.969,247.84,5.901
0.97,247.58,5.895
0.971,247.33,5.889
0.972,247.07,5.883
0.973,246.82,5.877
0.974,246.57,5.871
0.975,246.31,5.865
0.976,246.06,5.859
0.977,245.81,5.853
0.978,245.56,5.847
0.979,245.31,5.841
0.98,245.05,5.835
0.981,244.8,5.829
0.982,244.56,5.823
0.983,244.31,5.817
0.984,244.06,5.811
0.985,243.81,5.805
0.986,243.56,5.799
0.987,243.31,5.793
0.988,243.07,5.787
0.989,242.82,5.781
0.99,242.58,5.776
0.991,242.33,5.77
0.992,242.09,5.764
0.993,241.84,5.758
0.994,241.6,5.752
0.995,241.36,5.747
0.996,241.11,5.741
0.997,240.87,5.735
0.998,240.63,5.729
0.999,240.39,5.724
1.0,240.15,5.718
1.001,239.91,5.712
1.002,239.67,5.706
1.003,239.43,5.701
1.004,239.19,5.695
1.005,238.95,5.689
1.006,238.71,5.684
1.007,238.48,5.678
1.008,238.24,5.672
1.009,238.0,5.667
1.01,237.77,5.661
1.011,237.53,5.656
1.012,237.3,5.65
1.013,237.06,5.644
1.014,236.83,5.639
1.015,236.59,5.633
1.016,236.36,5.628
1.017,236.13,5.622
1.018,235.9,5.617
1.019,235.66,5.611
1.02,235.43,5.606
1.021,235.2,5.6
1.022,234.97,5.595
1.023,234.74,5.589
1.024,234.51,5.584
1.025,234.28,5.578
1.026,234.05,5.573
1.027,233.83,5.567
1.028,233.6,5.562
1.029,233.37,5.556
1.03,233.14,5.551
1.031,232.92,5.546
1.032,232.69,5.54
1.033,232.47,5.535
1.034,232.24,5.53
1.035,232.02,5.524
1.036,231.79,5.519
1.037,231.57,5.514
1.038,231.35,5.508
1.039,231.12,5.503
1.04,230.9,5.498
1.041,230.68,5.492
1.042,230.46,5.487
1.043,230.24,5.482
1.044,230.01,5.477
1.045,229.79,5.471
1.046,229.57,5.466
1.047,229.35,5.461
1.048,229.14,5.456
1.049,228.92,5.45
1.05,228.7,5.445
1.051,228.48,5.44
1.052,228.26,5.435
1.053,228.05,5.43
1.054,227.83,5.425
1.055,227.61,5.419
1.056,227.4,5.414
1.057,227.18,5.409
1.058,226.97,5.404
1.059,226.75,5.399
1.06,226.54,5.394
1.061,226.32,5.389
1.062,226.11,5.384
1.063,225.9,5.379
1.064,225.69,5.373
1.065,225.47,5.368
1.066,225.26,5.363
1.067,225.05,5.358
1.068,224.84,5.353
1.069,224.63,5.348
1.07,224.42,5.343
1.071,224.21,5.338
1.072,224.0,5.333
1.073,223.79,5.328
1.074,223.58,5.323
1.075,223.37,5.318
